,Comments_youtube
0,هذه الأغنية تعود بي الى سنين عديدة  وكلما سمعتها احسست بالفرح 
1,احلى الايام  التي لن تعود ذكريات الماضي والطفولة 
2,الله ذكريات حلوة وجميله انا كنت احب فجيتاء الله على ايام من ايام الطفوله وانا اتابعه اليوم صرت في سن المرأهقه عمري صار 22 سنه ولا زلت احب هاذا المسلسل الكرتوني
3,اجمل ايام العمر 
4,"اااااه على ذكريات عدت إلى الوراء 
الأب الروحي للأنمي دراغون بول "
5,ايام زمان من كنت اتابع هذا الانمي ايام الطفولة
6,ياريت ايام الطفوله ترجع
7,ياريت ترجع الذكريات مره تانيه كمل يا اسطوره 
8,"اتذكر حينها كنت ادرس في السنة الرابعة ابتدائي كنت اجلس عند التلفاز انا واخي واولاد عمي ونبدأ الغناء مع الشارة ونشاهد بكل مرح ايام مهما فعلنا لن تعود
مر على ذلك اكثر من 16سنة آآآه إنها الطفولة عندما كنا صغار كنا نريد ان نكبر وعندما كبرنا علمنا ان الطفولة لاتقارن بشيء في هذه الحياة"
9,الله على ماضي بعيد ضاع معه المستقبل وتحطم بدون رجعة
10,"انا اسمي غوكو بكاكاروت لانة اسمة الحقيقي
شكرا على جهودك المباركة "
11,انا العب هذه اللعبة و استمتع بالاغنية 
12,رجعت 17 سنة للوراء 
13,ايام سبيس تون الجميله ️🫶️
14,تصميم روعة يا صديقي
15,الاسطوره 
16,احلا ايامي لاانساها ماحييت
17,اسطوره
18,
19,اسطورتي 
20,٢٥سنة تبا لي وللمشاعر
21,اسطورة
22,الاغنية اسطورية بس انت اسطورة
23,أسطورة نار 
24,الانمي المفضل بلنسبة لي
25,7 سنوات و أنا أشاهده
26,
27,تسلم ايدك
28,والله اني سمعتها بعام ٢٠٠٠ م. هههههههههه
29,حلو
30,واللّه مبدع
31,لعبة دراغون بول كاكاروت لحد الان 2023 أنا أعيد لعبها
32,فديو روعة نوعه جديد صح
33,ربنا يباركلك فخامه
34,اللعبة اسمها دراغون بول زد كاكاروت والي نشر الفيديو كان يضن ان هذا اسم الانمي
35,عمري 30
36,سيدك سيدك ههه
37,بتوفيق
38,
39,Nice trick lol
